case,order,secondary_nm,primary_nm,time_h,permeability_fluorescence,committed_fraction,membrane_compromised_cumulative,atp_proxy,caspase_proxy,ldh_proxy,surface_complex_copies,internalized_complex_copies,payload_copies,delivered_payload_cumulative,core_committed,rim_committed
reference,simultaneous,0.1,0.01,24.0,1e-08,3e-08,1e-08,0.99936886,2e-08,1e-08,31.60471962,23.67622596,1.93767448,2.74330968,0.0,4e-08
reference,simultaneous,0.1,0.01,48.0,1.018e-05,2.006e-05,9.67e-06,0.99605456,1.039e-05,8.44e-06,39.04907651,37.56821468,5.5229183,11.64600284,0.0,2.848e-05
reference,simultaneous,0.1,0.01,72.0,0.00021388,0.00031155,0.00020323,0.99195044,0.00010832,0.00015891,39.50451078,40.20176867,7.32852737,22.56584305,3e-08,0.00044209
reference,simultaneous,0.1,0.026101572156825372,24.0,1.4e-07,5.1e-07,1.3e-07,0.99839941,3.8e-07,1.2e-07,79.96517285,60.01564496,4.9242848,6.97712453,0.0,7.3e-07
reference,simultaneous,0.1,0.026101572156825372,48.0,0.00015832,0.00030995,0.00015043,0.99008708,0.00015952,0.00013118,98.65143053,94.9406499,13.97251306,29.49669873,1e-08,0.00044007
reference,simultaneous,0.1,0.026101572156825372,72.0,0.00314091,0.00453265,0.00298453,0.97802177,0.00154811,0.00232343,99.7854006,101.55190849,18.51921193,57.08500174,4.1e-07,0.00643075
reference,simultaneous,0.1,0.06812920690579614,24.0,2e-06,7.39e-06,1.9e-06,0.99611462,5.49e-06,1.8e-06,192.72764372,145.33927942,12.00398206,17.04247712,0.0,1.049e-05
reference,simultaneous,0.1,0.06812920690579614,48.0,0.00201949,0.00388519,0.00191876,0.97562329,0.00196642,0.00166772,236.81705967,228.10564765,33.66688331,71.28166258,1.3e-07,0.00551569
reference,simultaneous,0.1,0.06812920690579614,72.0,0.03418279,0.04790316,0.03248285,0.92729914,0.01542031,0.02494744,239.42391309,243.69839833,44.48631636,137.51443504,5.89e-06,0.06792999
reference,simultaneous,0.1,0.1778279410038923,24.0,2.198e-05,7.978e-05,2.088e-05,0.99147207,5.89e-05,1.975e-05,413.53417428,315.49330503,26.48064195,37.78229892,0.0,0.00011334
reference,simultaneous,0.1,0.1778279410038923,48.0,0.01652784,0.03046408,0.01570403,0.94064022,0.01476005,0.01353728,503.04886876,485.65162993,72.19538337,153.97480676,1.3e-06,0.04323647
reference,simultaneous,0.1,0.1778279410038923,72.0,0.18515569,0.23900347,0.17598766,0.76468778,0.06301581,0.12948368,507.77631839,517.08745119,94.65158488,294.68567238,6.071e-05,0.33825148
reference,simultaneous,0.1,0.464158883361278,24.0,0.00013851,0.00048595,0.00013159,0.9845791,0.00035436,0.00012417,705.83368877,550.51401435,47.70478859,68.76453911,0.0,0.00069032
reference,simultaneous,0.1,0.464158883361278,48.0,0.0631324,0.10785545,0.05999048,0.87611733,0.04786497,0.05089292,839.56008539,815.23585609,123.05666726,266.40100568,7.32e-06,0.15296072
reference,simultaneous,0.1,0.464158883361278,72.0,0.39541677,0.46170247,0.3761225,0.56670619,0.08557998,0.2564006,841.95279273,859.05112855,158.41992924,501.14886595,0.00035086,0.64883275
reference,simultaneous,0.1,1.2115276586285888,24.0,0.00039773,0.00133944,0.00037787,0.9785402,0.00096157,0.00035555,892.6145467,717.88370006,64.90839079,94.90552303,1e-08,0.0019026
reference,simultaneous,0.1,1.2115276586285888,48.0,0.11061046,0.1771333,0.10512817,0.82218642,0.07200512,0.0877263,1000.94569846,988.58032352,154.02032312,341.78540466,2.442e-05,0.25070685
reference,simultaneous,0.1,1.2115276586285888,72.0,0.49192965,0.55063616,0.46883578,0.47770154,0.08180038,0.30269742,978.45198021,1005.95848976,189.67455488,620.83019667,0.00133067,0.75988108
reference,simultaneous,0.1,3.1622776601683795,24.0,0.00054639,0.00176664,0.00051914,0.97647843,0.0012475,0.00048704,803.05122725,694.12598232,67.44171549,100.5310219,2e-08,0.00250781
reference,simultaneous,0.1,3.1622776601683795,48.0,0.10581789,0.16596697,0.10071428,0.82668286,0.06525269,0.08329044,790.58492358,807.96985401,135.31003969,316.51837859,0.00015784,0.23196594
reference,simultaneous,0.1,3.1622776601683795,72.0,0.46734628,0.53659356,0.44858845,0.49189179,0.08800511,0.29184365,746.44354665,775.55781278,152.41655409,536.79361301,0.01130147,0.69736257
reference,simultaneous,0.1,8.25404185268019,24.0,0.00029923,0.00090742,0.00028474,0.98061564,0.00062268,0.00026571,477.21230956,452.37451554,49.4121717,76.36449461,5.8e-07,0.00127152
reference,simultaneous,0.1,8.25404185268019,48.0,0.04247906,0.06856816,0.04083375,0.90050737,0.02773441,0.03376877,413.84090891,439.2093465,80.43054066,202.90780256,0.00454786,0.08883442
reference,simultaneous,0.1,8.25404185268019,72.0,0.2422708,0.29941275,0.23590594,0.70002142,0.06350682,0.1616629,377.3955107,396.36566301,81.84133161,318.34154001,0.08679164,0.35442428
reference,simultaneous,0.1,21.544346900318843,24.0,5.596e-05,0.00016457,5.384e-05,0.9885319,0.00011073,5.003e-05,207.560981,212.19482898,25.93426148,41.67113558,1.424e-05,0.00021259
reference,simultaneous,0.1,21.544346900318843,48.0,0.0066987,0.011047,0.00654243,0.96067864,0.00450458,0.00540609,174.42339046,187.36874288,36.23130042,97.49731482,0.00422702,0.01289649
reference,simultaneous,0.1,21.544346900318843,72.0,0.0431503,0.05569309,0.04249371,0.91501276,0.01319937,0.02976562,158.54653193,166.69527071,35.10900598,146.28136307,0.03273182,0.06164388
reference,simultaneous,0.1,56.23413251903491,24.0,5.66e-06,1.655e-05,5.53e-06,0.99462504,1.102e-05,5.13e-06,83.24378129,87.55076515,11.31131887,18.62208228,6.2e-06,1.933e-05
reference,simultaneous,0.1,56.23413251903491,48.0,0.00060713,0.00100697,0.00059954,0.98463815,0.00040743,0.00049414,69.19875449,74.65202039,14.78779797,41.14779646,0.00066048,0.00109444
reference,simultaneous,0.1,56.23413251903491,72.0,0.00390973,0.00510038,0.00387862,0.9765091,0.00122176,0.00271894,62.91538493,66.14761693,14.04222839,60.5283107,0.00397921,0.00538205
reference,simultaneous,0.1,146.77992676220705,24.0,4.2e-07,1.22e-06,4.1e-07,0.99775136,8.1e-07,3.8e-07,32.408582,34.50208729,4.57237929,7.61560542,7.4e-07,1.34e-06
reference,simultaneous,0.1,146.77992676220705,48.0,4.204e-05,6.979e-05,4.174e-05,0.99390991,2.806e-05,3.434e-05,26.86422936,29.02154475,5.80817447,16.41411213,5.569e-05,7.321e-05
reference,simultaneous,0.1,146.77992676220705,72.0,0.00026705,0.00034916,0.00026585,0.991709,8.331e-05,0.00018603,24.43521491,25.68799624,5.4700959,23.94214505,0.00030512,0.00035988
reference,simultaneous,0.1,383.1186849557293,24.0,3e-08,8e-08,3e-08,0.9991074,5e-08,2e-08,12.48995535,13.36041435,1.78915153,2.99428931,5e-08,8e-08
reference,simultaneous,0.1,383.1186849557293,48.0,2.57e-06,4.27e-06,2.56e-06,0.99761747,1.71e-06,2.1e-06,10.34447375,11.18057355,2.24672988,6.38986731,3.65e-06,4.43e-06
reference,simultaneous,0.1,383.1186849557293,72.0,1.623e-05,2.123e-05,1.618e-05,0.99683095,5.05e-06,1.131e-05,9.41112287,9.89310657,2.10917662,9.28926218,1.93e-05,2.171e-05
reference,simultaneous,0.1,1000.0,24.0,0.0,0.0,0.0,0.99965354,0.0,0.0,4.79571548,5.13908037,0.69082001,1.15809094,0.0,0.0
reference,simultaneous,0.1,1000.0,48.0,1.5e-07,2.5e-07,1.5e-07,0.99907878,1e-07,1.2e-07,3.97081691,4.29248766,0.86386346,2.46256806,2.1e-07,2.6e-07
reference,simultaneous,0.1,1000.0,72.0,9.4e-07,1.23e-06,9.4e-07,0.99877953,2.9e-07,6.6e-07,3.61289028,3.79782484,0.81002802,3.57561572,1.13e-06,1.26e-06
reference,simultaneous,3.0,0.01,24.0,1.05e-06,3.55e-06,1e-06,0.99709857,2.56e-06,9.4e-07,108.02303992,86.59180175,7.96386052,11.76587117,0.0,5.05e-06
reference,simultaneous,3.0,0.01,48.0,0.00055833,0.00103884,0.00053044,0.98548896,0.0005084,0.0004569,129.53653334,125.34787392,19.09442385,42.23307744,1e-08,0.00147558
reference,simultaneous,3.0,0.01,72.0,0.00848502,0.01189935,0.00806175,0.96680849,0.00383761,0.00616686,132.24303773,134.1431358,24.58151055,78.59347459,3.1e-07,0.0168947
reference,simultaneous,3.0,0.026101572156825372,24.0,1.777e-05,5.988e-05,1.688e-05,0.9925728,4.3e-05,1.588e-05,281.7062054,225.85083542,20.77378358,30.69172485,0.0,8.508e-05
reference,simultaneous,3.0,0.026101572156825372,48.0,0.00815764,0.01479245,0.00775033,0.95886554,0.00704212,0.00664109,337.6190694,326.7572219,49.78745711,110.13383457,1.4e-07,0.02100915
reference,simultaneous,3.0,0.026101572156825372,72.0,0.09616983,0.12794673,0.09137802,0.85788678,0.03656871,0.06805722,344.54662829,349.53778603,64.06805468,204.8967035,5.5e-06,0.18156486
reference,simultaneous,3.0,0.06812920690579614,24.0,0.00028026,0.00092727,0.00026625,0.98141058,0.00066101,0.00025014,733.56606233,588.35275859,54.13204441,79.97861219,0.0,0.00131743
reference,simultaneous,3.0,0.06812920690579614,48.0,0.08109895,0.13367221,0.07705386,0.8572958,0.05661835,0.06470249,877.84451702,849.98593612,129.59440358,286.76872063,2.59e-06,0.18975575
reference,simultaneous,3.0,0.06812920690579614,72.0,0.4300553,0.49127261,0.4088199,0.53905853,0.08245271,0.2719737,894.97931687,908.22594665,166.58177185,533.12397471,9.781e-05,0.69409979
reference,simultaneous,3.0,0.1778279410038923,24.0,0.00367065,0.01153207,0.00348724,0.95462843,0.00804483,0.00326564,1902.54169925,1527.57175839,140.65228121,207.82718655,3e-08,0.01638298
reference,simultaneous,3.0,0.1778279410038923,48.0,0.32054488,0.42800433,0.30467624,0.6162934,0.12332809,0.23954937,2267.36981253,2198.14272816,335.73486709,743.59361193,4.737e-05,0.60506378
reference,simultaneous,3.0,0.1778279410038923,72.0,0.67957381,0.69789063,0.64900863,0.31584365,0.048882,0.34824482,2305.37383617,2341.50474906,430.24748191,1379.62920274,0.00173947,0.94292351
reference,simultaneous,3.0,0.464158883361278,24.0,0.03021083,0.08201017,0.02870255,0.89094847,0.05330763,0.02661701,4875.47191159,3926.73081784,362.32193457,535.48276692,4.9e-07,0.11645855
